Name,config_id,trainable_params,dataset_name,test_accuracy,AUC_micro,precision_micro,recall_micro,f1_micro,best_epoch,total_epochs,ECE_l1,activation_type,batch_size,data_subset,num_epochs,model,lora_alpha,r,reduction
Lora-C 8-16,7dac0d9e,883716,Kaggle Brain MRI,0.478632479,0.448837587,0.478632479,0.478632479,0.478632479,9,13,0.757748783,,4,0.005,30,LoRA,16,8,
Lora-C 4-8,e04a05d0,445956,Kaggle Brain MRI,0.371794872,0.438293419,0.371794872,0.371794872,0.371794872,5,9,0.805557668,,4,0.01,30,LoRA,8,4,
Lora-C 8-16,3ad114ab,883716,Kaggle Brain MRI,0.241452991,0.349495269,0.241452991,0.241452991,0.241452991,6,10,0.786916196,,4,0.01,30,LoRA,16,8,
Lora-C 4-8,49d9bd47,445956,Kaggle Brain MRI,0.14031339,0.343423214,0.14031339,0.14031339,0.14031339,7,11,0.855629504,,32,0.1,30,LoRA,8,4,
Lora-C 8-16,e31dd6cf,883716,Kaggle Brain MRI,0.210826211,0.388813216,0.210826211,0.210826211,0.210826211,4,8,0.798373818,,32,0.1,30,LoRA,16,8,
Lora-C 4-8,837841fb,445956,Kaggle Brain MRI,0.737179487,0.33490343,0.737179487,0.737179487,0.737179487,12,16,0.907410264,,32,0.5,30,LoRA,8,4,
Lora-C 8-16,8d57c0fd,883716,Kaggle Brain MRI,0.594729345,0.421537095,0.594729345,0.594729345,0.594729345,5,9,0.707017481,,32,0.5,30,LoRA,16,8,
Lora-C 4-8,0186112f,445956,Kaggle Brain MRI,0.358974359,0.370397257,0.358974359,0.358974359,0.358974359,3,12,0.812816739,,32,1,30,LoRA,8,4,
Lora-C 8-16,7db72a07,883716,Kaggle Brain MRI,0.699430199,0.371469185,0.699430199,0.699430199,0.699430199,9,13,0.789382041,,32,1,30,LoRA,16,8,
Conv-A 16,6f8575eb,171752,Kaggle Brain MRI,0.189458689,0.340967031,0.189458689,0.189458689,0.189458689,18,24,0.837098122,,4,0.005,30,ConvAdapter,,,16
Conv-A 16,673220b0,171752,Kaggle Brain MRI,0.209401709,0.436654667,0.209401709,0.209401709,0.209401709,5,11,0.651966631,,4,0.01,30,ConvAdapter,,,16
Conv-A 16,678ee032,171752,Kaggle Brain MRI,0.242165242,0.402985518,0.242165242,0.242165242,0.242165242,9,15,0.725878477,,32,0.1,30,ConvAdapter,,,16
Conv-A 16,868297bf,171752,Kaggle Brain MRI,0.868945869,0.386716287,0.868945869,0.868945869,0.868945869,2,8,0.948242366,,32,0.5,30,ConvAdapter,,,16
Conv-A 16,1a3d37f0,171752,Kaggle Brain MRI,0.810541311,0.333930849,0.810541311,0.810541311,0.810541311,6,12,0.927975059,,32,1,30,ConvAdapter,,,16
